,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Oleic Acid,8,"[philosophy, philosophy, philosophy, NUDE Skincare, Dr. Brandt Skincare, Laura Mercier, Peter Thomas Roth, Peter Thomas Roth]",346.0,22.0,19.0,26.0,60.0,219.0,"[50.0, 35.0, 47.0, 0.0, 59.0, 98.0, 85.0, 72.0]","[0.0, 0.0, 0.0, 3.8571, 4.2432, 4.0, 4.5874, 3.9859]",5.0,2.5842,55.75
Ceramide Ng,4,"[philosophy, philosophy, Guerlain, GLAMGLOW]",212.0,17.0,21.0,15.0,32.0,129.0,"[50.0, 35.0, 29.5, 49.0]","[0.0, 0.0, 0.0, 4.0991]",3.0,1.024775,40.875
Peg-10 Rapeseed Sterol,4,"[philosophy, philosophy, belif, Dr. Jart+]",55.0,1.0,2.0,4.0,9.0,40.0,"[50.0, 35.0, 58.0, 49.0]","[0.0, 0.0, 5.0, 4.4906]",3.0,2.37265,48.0
Linolenic Acid,6,"[philosophy, philosophy, philosophy, NUDE Skincare, Caudalie, Dr. Dennis Gross Skincare]",155.0,12.0,12.0,13.0,30.0,88.0,"[50.0, 35.0, 47.0, 0.0, 39.0, 88.0]","[0.0, 0.0, 0.0, 3.8571, 4.1215, 4.1176]",4.0,2.01603333333,43.1666666667
Magnolia Officinalis Bark Extract,3,"[philosophy, philosophy, philosophy]",0.0,0.0,0.0,0.0,0.0,0.0,"[50.0, 35.0, 47.0]","[0.0, 0.0, 0.0]",1.0,0.0,44.0
Glycyrrhiza Glabra (Licorice) Root Extract,65,"[philosophy, philosophy, philosophy, philosophy, philosophy, philosophy, First Aid Beauty, Clarisonic, philosophy, philosophy, philosophy, Erborian, Algenist, Koh Gen Do, Erborian, Erborian, Koh Gen Do, Koh Gen Do, First Aid Beauty, First Aid Beauty, Primary Raw, belif, boscia, Erborian, First Aid Beauty, First Aid Beauty, Blithe, First Aid Beauty, Fresh, First Aid Beauty, First Aid Beauty, belif, Erborian, Erborian, Fresh, IT Cosmetics, First Aid Beauty, Tatcha, Sunday Riley, First Aid Beauty, IT Cosmetics, First Aid Beauty, IT Cosmetics, IT Cosmetics, tarte, Dr. Dennis Gross Skincare, First Aid Beauty, boscia, IT Cosmetics, Tatcha, Tatcha, Too Cool For School, Tatcha, AmorePacific, First Aid Beauty, Givenchy, Dr. Jart+, Fresh, Algenist, First Aid Beauty, First Aid Beauty, First Aid Beauty, REN, Primary Raw, Erborian]",11234.0,587.0,585.0,756.0,1840.0,3732.0,"[50.0, 50.0, 50.0, 35.0, 35.0, 35.0, 34.0, 44.0, 47.0, 47.0, 47.0, 48.0, 70.0, 55.0, 39.0, 24.0, 85.0, 55.0, 38.0, 22.0, 46.0, 58.0, 36.0, 36.0, 30.0, 38.0, 42.0, 16.0, 67.0, 26.0, 20.0, 38.0, 39.0, 55.0, 52.0, 38.0, 30.0, 48.0, 80.0, 36.0, 48.0, 38.0, 38.0, 32.0, 24.0, 72.0, 24.0, 38.0, 38.0, 110.0, 95.0, 36.0, 68.0, 50.0, 12.0, 390.0, 49.0, 67.0, 28.0, 40.0, 30.0, 28.0, 30.0, 46.0, 39.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7143, 2.3333, 0.0, 0.0, 0.0, 3.0, 3.2414, 3.7727, 4.3333, 5.0, 4.375, 4.0, 3.7664, 4.1505, 3.8462, 5.0, 3.9222, 4.525, 3.9259, 4.032, 4.9, 4.0, 3.9655, 3.4597, 4.6667, 3.8333, 4.1852, 5.0, 3.3421, 4.3714, 4.596, 4.1695, 4.2609, 4.3182, 4.6538, 4.3297, 3.84, 4.2895, 4.2528, 4.1625, 4.2091, 4.14, 3.5556, 4.5102, 4.8095, 3.9615, 3.876, 4.4316, 5.0, 4.3125, 4.4906, 4.1092, 4.4634, 3.9333, 3.8197, 4.4706, 4.204, 4.9, 4.3478]",21.0,3.58584,49.4
Aqua/Water/Eau,4,"[philosophy, AmorePacific, Ole Henriksen, IT Cosmetics]",1044.0,68.0,81.0,91.0,205.0,599.0,"[50.0, 60.0, 48.0, 35.0]","[0.0, 4.2202, 4.0056, 3.5]",4.0,2.93145,48.25
Ilomastat,1,[philosophy],0.0,0.0,0.0,0.0,0.0,0.0,[50.0],[0.0],1.0,0.0,50.0
Cichorium Intybus (Chicory) Root Extract,4,"[philosophy, philosophy, philosophy, Algenist]",95.0,11.0,7.0,12.0,15.0,50.0,"[50.0, 35.0, 47.0, 75.0]","[0.0, 0.0, 0.0, 3.9053]",2.0,0.976325,51.75
Cocos Nucifera (Coconut) Oil,10,"[Perricone MD, AmorePacific, First Aid Beauty, Perricone MD, IT Cosmetics, tarte, Kate Somerville, Tatcha, tarte, Josie Maran]",1402.0,113.0,100.0,133.0,241.0,818.0,"[115.0, 50.0, 26.0, 85.0, 48.0, 39.0, 65.0, 135.0, 25.0, 42.0]","[4.0, 4.3214, 3.4597, 3.72, 4.6538, 4.3934, 4.1631, 3.7391, 4.0375, 4.7222]",8.0,4.12102,63.0
